id,date,sentence,growth_sentiment_final,employment_sentiment_final,inflation_sentiment_final
11963,2021-07-07,"For commercial real estate (CRE) financed through capital markets, financing conditions remained mostly accommodative over the intermeeting period.",positive,neutral,neutral
11964,2021-10-13,"In the euro area and the United Kingdom, higher-than-expected inflation data contributed to the rise in yields and inflation compensation measures.",neutral,neutral,negative
11966,2022-01-05,Supply and demand imbalances related to the pandemic and the reopening of the economy have continued to contribute to elevated levels of inflation.,neutral,neutral,negative
11967,2022-02-16,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,neutral,neutral,neutral
11968,2022-02-16,"Far forward real yields moved higher over the period, with much of the increase following the release of the minutes for the December FOMC meeting.",neutral,neutral,neutral
11969,2022-02-16,Supply and demand imbalances related to the pandemic and the reopening of the economy have continued to contribute to elevated levels of inflation.,neutral,neutral,negative
11970,2022-04-06,"The effective federal funds rate and the Secured Overnight Financing Rate generally held steady at 8 basis points and 5 basis points, respectively.",neutral,neutral,neutral
11972,2022-05-25,"The unemployment rates for African Americans and for Hispanics moved lower, though both rates remained noticeably higher than the national average.",neutral,positive,neutral
11973,2022-07-06,"The private-sector job openings rate, as measured by the Job Openings and Labor Turnover Survey, edged lower in April but remained at a high level.",neutral,positive,neutral
11974,2022-07-06,"A couple of participants raised the possibility that tight labor markets would spur investment in automation by firms, boosting labor productivity.",positive,negative,neutral
11975,2022-08-17,"Nominal wage growth continued to be rapid and broad based, with average hourly earnings having risen 5.1 percent over the 12 months ending in June.",neutral,positive,neutral
11976,2022-11-23,The number of home-purchase and refinance mortgage originations were about flat in August and September but down significantly from late last year.,negative,neutral,neutral
11977,2023-02-22,"The market-implied federal funds rate path for 2023 was little changed, on net, during the intermeeting period but fell moderately beyond mid-2024.",neutral,neutral,neutral
11978,2023-02-22,"Interest rates on existing credit cards continued to increase in recent months, and interest rates on new auto loans also rose through mid-January.",negative,neutral,neutral
11979,2023-02-22,A few participants remarked that recent failures of companies involved in crypto finance have had a limited effect on the broader financial system.,negative,neutral,neutral
11980,2006-01-03,Members concurred that the statement should note that the expansion remained solid despite elevated energy prices and hurricane-related disruptions.,positive,neutral,negative
11981,2006-02-21,M2 expanded at a somewhat faster pace in the fourth quarter than had been predicted from historical relationships with income and opportunity costs.,neutral,neutral,negative
11982,2006-04-18,"To date, unit labor costs were not placing pressure on inflation, and high profit margins left firms a considerable buffer to absorb cost increases.",neutral,neutral,positive
11983,2006-05-31,"While manufacturing growth for the first quarter as a whole slowed from the rapid pace of the fourth quarter, it exceeded that of the previous year.",positive,neutral,neutral
11984,2006-05-31,"Domestic nonfinancial sector debt was estimated to have grown at a robust pace in the first quarter, down only slightly from the brisk pace of 2005.",neutral,neutral,neutral
11985,2006-05-31,"And, even if nominal wages should accelerate somewhat, relatively wide profit margins could buffer the effect on prices of final goods and services.",neutral,neutral,positive
11986,2006-07-20,The pass-through of the substantial rise in energy prices could account for a considerable part of the step-up in core inflation in recent quarters.,neutral,neutral,negative
11987,2007-10-09,Growth of nonfinancial domestic debt was estimated to have slowed a little in the third quarter from the average pace in the first half of the year.,neutral,neutral,neutral
11988,2008-01-02,"TIPS yields fell less than their nominal counterparts, implying modest declines in inflation compensation both at the five-year and longer horizons.",neutral,neutral,positive
11989,2008-02-20,"In this context, the Committee judged that some inflation risk remained and said that it would continue to monitor inflation developments carefully.",neutral,neutral,negative
11990,2008-04-08,"Real outlays for nondurable and durable consumer goods, including automobiles, were estimated to have declined, on average, in January and February.",negative,neutral,neutral
11991,2008-04-08,"Most other categories of imports dropped in December and January on net, with especially large declines in imports of automotive and consumer goods.",negative,neutral,neutral
11992,2008-04-08,"In discussing the external sector of the economy, some participants indicated that net exports remained a notable source of support for the economy.",positive,neutral,neutral
11993,2008-07-16,"Manufacturing output also fell in April and was unchanged in May; over the two months, factory production slowed across a broad range of industries.",negative,neutral,neutral
11994,2008-07-16,"Over the intermeeting period, spreads of rates on conforming residential mortgages over comparable-maturity Treasury securities remained about flat.",neutral,neutral,neutral
11995,2008-10-07,"Tight conditions in mortgage markets over the summer continued to restrain housing demand, especially for borrowers seeking nonconforming mortgages.",negative,neutral,neutral
11996,2008-11-19,"Measures of consumer sentiment dropped in October to near or below their low levels of midyear, with the Conference Board measure exceptionally low.",negative,neutral,neutral
11997,2009-01-06,"The unemployment rate climbed to 6.7 percent in November, while the labor force participation rate fell after remaining steady for much of the year.",neutral,negative,neutral
11998,2009-01-06,"Sales of existing single-family homes changed little, although a drop in pending home sales in October pointed to further declines in the near term.",negative,neutral,neutral
11999,2009-02-18,"In other cases, the Federal Reserve eventually may have to take a more active role in scaling back programs by adjusting their terms and conditions.",neutral,neutral,neutral
12000,2009-04-08,"Expenditures were being cut substantially for a wide range of capital equipment, and spending on nonresidential structures had recently turned down.",negative,neutral,neutral
12001,2009-05-20,"As of April 22, the System's total assets and liabilities were close to $2.2 trillion, about $130 billion higher than just before the March meeting.",positive,neutral,neutral
12002,2009-07-15,Rates for conforming 30-year fixed-rate mortgages rose on net between late April and late June but remained below the levels seen over most of 2008.,neutral,neutral,neutral
12003,2009-07-15,"Purchasing managers indexes rebounded from the exceptionally low levels reached in the first quarter, and industrial production stabilized somewhat.",neutral,neutral,neutral
12004,2009-07-15,The expected path of the federal funds rate implied by futures prices was largely unchanged by the release of the Committee's statement and minutes.,neutral,neutral,neutral
12005,2009-07-15,"Over the intermeeting period, functioning in the market for Treasury securities generally improved and trading picked up, but some strains remained.",positive,neutral,neutral
12006,2009-07-15,Participants noted the considerable uncertainty surrounding estimates of the output and unemployment gaps and the extent of their effects on prices.,negative,negative,neutral
12007,2009-09-02,"The on-the-run liquidity premium for the 10-year Treasury note was little changed at elevated levels, although it was well below its peak last fall.",neutral,neutral,neutral
12008,2010-01-06,The staff interpreted the increases in prices of energy and nonmarket services that recently boosted consumer price inflation as largely transitory.,neutral,neutral,negative
12009,2010-02-17,Spreads on A2/P2-rated commercial paper (CP) and AA-rated asset-backed CP held steady at the low end of the range that has prevailed since mid-2007.,neutral,neutral,neutral
12010,2010-05-19,"The drop in commercial real estate loans persisted, reflecting weak fundamentals that limited originations as well as charge-offs of existing loans.",negative,neutral,neutral
12012,2010-10-12,Conditions in short-term funding markets continued to improve following the recent stresses related to concerns about financial stability in Europe.,neutral,neutral,neutral
12013,2010-10-12,The softer tone of incoming economic data suggested that the underlying level of demand was weaker than projected at the time of the August meeting.,negative,neutral,neutral
12014,2011-01-04,"Although inventory-sales ratios rose during the third quarter, survey data implied that few businesses perceived inventory stocks as being too high.",positive,neutral,neutral
12016,2011-01-04,"Although consumer credit contracted in the third quarter, the decline was the smallest since late 2008, and consumer credit edged higher in October.",neutral,neutral,neutral
12017,2011-02-16,Participants noted that many of the factors that contributed to the recent apparent rise in structural unemployment were likely to recede over time.,neutral,negative,neutral
12018,2011-02-16,"The unemployment rate decreased to 9.4 percent in December, but this decline in part reflected a further drop in the labor force participation rate.",neutral,positive,neutral
12019,2011-02-16,"In December and early January, survey measures of households' long-term inflation expectations stayed in the range that has prevailed for some time.",neutral,neutral,neutral
12020,2011-02-16,Participants' judgment that the economic recovery was on a firmer footing was supported by the strength in household spending in the fourth quarter.,positive,neutral,neutral
12021,2011-04-05,"On net, expectations for the federal funds rate, along with yields on nominal Treasury securities, were little changed over the intermeeting period.",neutral,neutral,neutral
12022,2011-05-18,Most participants saw changes in the target for the federal funds rate as the preferred active tool for tightening monetary policy when appropriate.,neutral,neutral,neutral
12023,2011-05-18,"Gross public equity issuance by nonfinancial firms was robust in March, and indicators of the credit quality of nonfinancial firms improved further.",positive,neutral,neutral
12024,2011-07-12,"Delinquency rates for consumer debt edged down further in recent months, with delinquency rates on some categories moving back to pre-crisis levels.",positive,neutral,neutral
12025,2011-07-12,"The run-up in energy prices, as well as an increase in prices of other commodities and imported goods, had boosted both headline and core inflation.",neutral,neutral,negative
12026,2011-08-30,A few participants noted that a reduction in the interest rate paid on excess reserve balances could also be helpful in easing financial conditions.,neutral,neutral,neutral
12027,2011-10-12,A number of participants judged that a reduction would result in at least marginally lower money market rates and could help stimulate bank lending.,neutral,neutral,neutral
12028,2011-10-12,"Monthly U.S. consumer price inflation picked up in July and August after slowing in May and June, but remained a bit lower than earlier in the year.",neutral,neutral,negative
12029,2012-01-03,Meeting participants observed that financial markets remained volatile over the intermeeting period in large part because of developments in Europe.,neutral,neutral,neutral
12030,2012-02-15,"Reports from business contacts indicated that activity in the manufacturing, energy, and agricultural sectors continued to advance in recent months.",positive,neutral,neutral
12032,2012-04-03,Initial claims for unemployment insurance trended lower over the intermeeting period and were at a level consistent with further moderate job gains.,neutral,positive,neutral
12033,2012-04-03,"Moreover, households' net worth grew in the fourth quarter of last year and likely was boosted further by gains in equity values thus far this year.",positive,neutral,neutral
12034,2012-05-16,Staff Review of the Economic SituationThe information reviewed at the April 24-25 meeting suggested that economic activity was expanding moderately.,positive,neutral,neutral
12035,2012-07-11,"Business fixed investment had continued to advance, and household spending appeared to be rising at a somewhat slower pace than earlier in the year.",positive,neutral,neutral
12036,2012-10-04,"On balance, the nominal Treasury yield curve steepened over the intermeeting period, with yields on longer-dated Treasury securities rising notably.",positive,neutral,neutral
12038,2012-10-04,"For the duration of this program, the Committee directs the Desk to suspend its policy of rolling over maturing Treasury securities into new issues.",neutral,neutral,neutral
12039,2012-11-14,"For the duration of this program, the Committee directs the Desk to suspend its policy of rolling over maturing Treasury securities into new issues.",neutral,neutral,neutral
12040,2013-11-20,"Measures of firms' hiring plans improved, the rate of job openings increased slightly, and the rate of long-duration unemployment declined a little.",neutral,positive,neutral
12041,2013-11-20,"In addition, financial markets were affected for a time by uncertainties about raising the federal debt limit and resolving the government shutdown.",negative,neutral,neutral
12042,2013-11-20,Financial quotes suggested that markets moved out the date at which they expected to see the Committee first increase the federal funds rate target.,neutral,neutral,neutral
12043,2014-08-20,The staff detailed a possible approach for implementing and communicating monetary policy once the Committee begins to tighten the stance of policy.,neutral,neutral,neutral
12044,2014-08-20,The staff continued to project that real GDP would expand at a faster pace in the second half of this year and over the next two years than in 2013.,positive,neutral,neutral
12045,2014-10-08,"As a consequence, they updated the language in the statement to indicate that inflation had been running below the Committee's longer-run objective.",neutral,neutral,positive
12046,2014-11-19,"Nominal business spending for new nonresidential construction decreased in August, and vacancy rates for nonresidential buildings remained elevated.",negative,neutral,neutral
12047,2015-01-07,"Market-based measures of inflation compensation declined further, while survey-based measures of longer-term inflation expectations remained stable.",neutral,neutral,positive
12048,2015-02-18,"Nonetheless, many participants agreed that the use of term RRP operations during the period of policy tightening could be useful in some situations.",neutral,neutral,neutral
12049,2015-02-18,"Consumer price inflation moved further below the FOMC's longer-run objective of 2 percent, held down by continuing large decreases in energy prices.",neutral,neutral,positive
12050,2015-02-18,The fall had occurred despite the strengthening U.S. economic outlook and market expectations that policy normalization could begin later this year.,neutral,neutral,neutral
12051,2015-05-20,"The deputy manager followed with a review of System open market operations conducted during the period since the Committee met on March 17-18, 2015.",neutral,neutral,neutral
12052,2015-05-20,"Market-based measures of inflation compensation remained low, while survey-based measures of longer-term inflation expectations had remained stable.",neutral,neutral,positive
12053,2015-05-20,Many participants noted that measures of inflation averaged over several months or more continued to run below the Committee's longer-run objective.,neutral,neutral,positive
12054,2015-05-20,"Market-based measures of inflation compensation remained low, while survey-based measures of longer-term inflation expectations had remained stable.",neutral,neutral,positive
12055,2015-07-08,The manager also discussed System open market operations conducted by the Open Market Desk during the period since the Committee met on April 28-29.,neutral,neutral,neutral
12056,2015-07-08,Growth in real personal consumption expenditures (PCE) appeared to pick up early in the second quarter from its modest pace in the previous quarter.,positive,neutral,neutral
12057,2015-07-08,Respondents again saw the September 2015 FOMC meeting as the most likely time for the first increase in the target range for the federal funds rate.,neutral,neutral,neutral
12058,2015-08-19,Members generally agreed that additional information on the outlook would be necessary before deciding to implement an increase in the target range.,neutral,neutral,neutral
12059,2015-10-08,"In manufacturing, the auto industry remained a bright spot, but the appreciation of the dollar was still restraining production of goods for export.",negative,neutral,neutral
12060,2015-11-18,"Consistent with this downside risk to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12061,2016-01-06,"Issuance of investment-grade corporate bonds and institutional leveraged loans remained solid, buoyed by demand to finance mergers and acquisitions.",positive,neutral,neutral
12062,2016-01-06,Gradual adjustments in the federal funds rate would also allow policymakers to assess how the economy was responding to increases in interest rates.,neutral,neutral,neutral
12063,2016-02-17,Financing conditions for nonfinancial businesses remained accommodative for firms of higher credit quality but tightened somewhat for riskier firms.,negative,neutral,neutral
12064,2016-05-18,"Nevertheless, recent readings on key factors that influence consumer spending were consistent with a pickup in real PCE growth in the coming months.",neutral,neutral,neutral
12065,2016-07-06,Market-based estimates of the probability of a hike in the federal funds rate at the June FOMC meeting were variable during the intermeeting period.,neutral,neutral,neutral
12066,2016-07-06,"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12068,2016-08-17,"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12069,2016-08-17,"In addition, it was pointed out that the upward trend in investment in intellectual property products was a positivee in the outlook for investment.",positive,neutral,neutral
12070,2016-10-12,"All transactions in foreign currencies undertaken pursuant to paragraph 1 above shall, unless otherwise authorized by the Committee, be conducted:A.",neutral,neutral,neutral
12071,2016-10-12,"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12072,2016-11-23,Measures of longer-run inflation expectations from the Desk's Survey of Primary Dealers and Survey of Market Participants were unchanged in October.,neutral,neutral,neutral
12073,2016-11-23,"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12074,2017-01-04,"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12075,2017-02-22,"All transactions in foreign currencies undertaken pursuant to paragraph 1 above shall, unless otherwise authorized by the Committee, be conducted:A.",neutral,neutral,neutral
12076,2017-02-22,"Altogether, the change in real net exports was estimated to have made a substantial nagativee contribution to real GDP growth in the fourth quarter.",negative,neutral,neutral
12077,2017-02-22,"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12078,2017-04-05,"The unemployment rate edged back down to 4.7 percent in February, and the labor force participation rate rose over the first two months of the year.",neutral,positive,neutral
12079,2017-04-05,"Meanwhile, spreads of yields on bonds issued by nonfinancial corporations over those on comparable-maturity Treasury securities were little changed.",neutral,neutral,neutral
12080,2017-04-05,"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12081,2017-05-24,"Consistent with the downside risks to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as tilted to the upside.",negative,negative,neutral
12082,2017-11-22,"Sales of new homes increased notably over the two months ending in September, although sales of existing homes decreased somewhat over that period.",positive,neutral,neutral
12083,2018-02-21,"All transactions in foreign currencies undertaken pursuant to paragraph 1 above shall, unless otherwise authorized by the Committee, be conducted:A.",neutral,neutral,neutral
12084,2018-02-21,"Total industrial production increased over the two months ending in December, with broad-based gains in manufacturing, mining, and utilities output.",positive,neutral,neutral
12085,2018-04-11,"On the upside, recent fiscal policy changes could lead to a greater expansion in economic activity over the next few years than the staff projected.",positive,neutral,neutral
12086,2018-04-11,"Many participants reported considerable optimism among the business contacts in their Districts, consistent with a firming in business expenditures.",positive,neutral,neutral
12087,2018-04-11,Recent data suggested that growth rates of household spending and business fixed investment had moderated from their strong fourth-quarter readings.,neutral,neutral,neutral
12088,2018-05-23,"On the upside, recent fiscal policy changes could lead to a greater expansion in economic activity over the next few years than the staff projected.",positive,neutral,neutral
12089,2018-07-05,"Gross issuance of municipal bonds in April and May was solid, as issuance continued to recover from the slow pace recorded at the start of the year.",positive,neutral,neutral
12090,2018-07-05,"On the upside, recent fiscal policy changes could lead to a greater expansion in economic activity over the next few years than the staff projected.",positive,neutral,neutral
12091,2018-11-29,"Payrolls had increased strongly in October, and measures of labor market tightness such as rates of job openings and quits continued to be elevated.",neutral,positive,neutral
12092,2019-01-09,"Financing conditions in the residential mortgage market also remained accommodative for most borrowers, but the demand for mortgage credit softened.",negative,neutral,neutral
12093,2019-01-09,Participants agreed to continue to monitor financial market developments and assess the implications of these developments for the economic outlook.,neutral,neutral,neutral
12094,2019-02-20,"All transactions in foreign currencies undertaken pursuant to paragraph 1 above shall, unless otherwise authorized by the Committee, be conducted:A.",neutral,neutral,neutral
12095,2019-02-20,Core PCE price inflation was still expected to step up to 2 percent over this year as a whole and then to run at that level through the medium term.,neutral,neutral,positive
12096,2019-02-20,"In addition, a few participants noted that recent declines in oil or gasoline prices had damped plans for capital expenditures in the energy sector.",negative,neutral,positive
12097,2019-04-10,"The employment cost index for private-sector workers increased 3 percent over the 12 months ending in December, somewhat faster than a year earlier.",neutral,negative,neutral
12098,2019-04-10,"Consistent with reports about a potential trade deal, stock prices of firms with greater exposure to China generally outperformed the S&P 500 index.",positive,neutral,neutral
12099,2019-04-10,"On the downside, the recent softening in a number of economic indicators could be the harbinger of a substantial deterioration in economic activity.",negative,neutral,neutral
12100,2019-04-10,"Moreover, trade policies and foreign economic developments could move in directions that have significant nagativee effects on U.S. economic growth.",negative,neutral,neutral
12102,2019-05-22,"Moreover, trade policies and foreign economic developments could move in directions that have significant nagativee effects on U.S. economic growth.",negative,neutral,neutral
12103,2019-08-21,"In the commercial real estate (CRE) sector, financing conditions remained generally accommodative despite a modest deceleration in bank loan growth.",negative,neutral,neutral
12104,2019-10-09,Participants' Discussion of Recent Money Market DevelopmentsThe manager pro tem provided a summary of the most recent developments in money markets.,neutral,neutral,neutral
12107,2020-01-03,"Both the rate of private-sector job openings and the rate of quits edged down in September, but these readings were still at fairly elevated levels.",neutral,negative,neutral
12108,2020-02-19,"All transactions in foreign currencies undertaken pursuant to paragraph 1 above shall, unless otherwise authorized by the Committee, be conducted:A.",neutral,neutral,neutral
12109,2020-04-08,"As a result, the Chair, in consultation with the FOMC, instructed the Desk to conduct purchases of Treasury securities across a range of maturities.",neutral,neutral,neutral
12110,2020-04-08,"The consumer price index (CPI) rose 2.3 percent over the 12 months ending in February, and the core CPI increased 2.4 percent over that same period.",neutral,neutral,negative
12111,2020-05-20,"Output in the mining sector, which includes crude oil extraction, also decreased significantly in the wake of the recent declines in crude oil prices.",negative,neutral,positive
12112,2020-05-20,"On the one hand, a number of participants judged that there was a substantial likelihood of additional waves of outbreak in the near or medium term.",negative,neutral,neutral
12113,2020-08-19,"As term U.S. dollar liquidity swaps matured, the amounts outstanding fell to around $120 billion, less than a third of the peak reached in late May.",neutral,neutral,neutral
12114,2020-08-19,"In light of this assessment, all participants considered it appropriate to maintain the target range for the federal funds rate at 0 to혻1/4 percent.",neutral,neutral,neutral
12115,2020-10-07,"Meanwhile, the Federal Reserve increased holdings of Treasury securities and agency MBS at the same pace as during the previous intermeeting period.",neutral,neutral,neutral
12116,2020-10-07,"Amid historically low corporate bond yields, gross issuance of both investment- and speculative-grade corporate bonds was strong in July and August.",positive,neutral,neutral
12117,2020-10-07,"Amid notable equity market gains in August, gross equity issuance was robust, as seasoned offerings strengthened to about double their typical pace.",positive,neutral,neutral
12118,2020-11-25,"Housing-sector activity advanced in the third quarter, with real residential investment and home sales both moving above their first quarter levels.",positive,neutral,neutral
12119,2020-11-25,"Domestic demand supported the recovery, and in Asia there was also a strong rebound of exports, especially of electronics and, more recently, autos.",positive,neutral,neutral
12120,2021-01-06,"On balance, prices of global risky assets increased notably, implied volatility dropped sharply, and the dollar depreciated against most currencies.",positive,neutral,negative
12121,2021-02-17,"All transactions in foreign currencies undertaken pursuant to paragraph 1 above shall, unless otherwise authorized by the Committee, be conducted:A.",neutral,neutral,neutral
12122,2021-04-07,"Consumer spending appeared to be increasing in the first quarter at a pace considerably faster, on balance, than in the fourth quarter of last year.",positive,neutral,neutral
